threads,type,drop,time_millis
1,alloc::sync::Arc<str>,True,52
1,alloc::string::String,True,157
1,alloc::sync::Arc<str>,False,27
1,alloc::string::String,False,300
2,alloc::sync::Arc<str>,True,1090
2,alloc::string::String,True,157
2,alloc::sync::Arc<str>,False,535
2,alloc::string::String,False,326
4,alloc::sync::Arc<str>,True,1261
4,alloc::string::String,True,157
4,alloc::sync::Arc<str>,False,1055
4,alloc::string::String,False,451
8,alloc::sync::Arc<str>,True,3721
8,alloc::string::String,True,316
8,alloc::sync::Arc<str>,False,2038
8,alloc::string::String,False,772
12,alloc::sync::Arc<str>,True,4853
12,alloc::string::String,True,330
12,alloc::sync::Arc<str>,False,2619
12,alloc::string::String,False,1406
